Name,Price
'Blueberries' Buckshot | NSWC SEAL,$19.77
'Medium Rare' Crasswater | Guerrilla Warfare,$38.85
'The Doctor' Romanov | Sabre,$14.40
'Two Times' McCoy | TACP Cavalry,$11.10
'Two Times' McCoy | USAF TACP,$11.21
10 Year Birthday Sticker Capsule,$0.59
1st Lieutenant Farlow | SWAT,$12.02
2020 RMR,$0.18
2021 Community Sticker Capsule,$0.65
3rd Commando Company | KSK,$14.28
Aces High Pin,$8.44
AK-47 | Aquamarine Revenge,$39.69
AK-47 | Asiimov,$39.25
AK-47 | B the Monster,$103.00
AK-47 | Baroque Purple,$6.16
AK-47 | Black Laminate,$33.46
AK-47 | Bloodsport,$142.40
AK-47 | Blue Laminate,$15.09
AK-47 | Cartel,$18.98
AK-47 | Case Hardened,$181.74
AK-47 | Crossfade,$2.55
AK-47 | Elite Build,$1.55
AK-47 | Emerald Pinstripe,$2.65
AK-47 | Fire Serpent,$562.10
AK-47 | First Class,$82.44
AK-47 | Frontside Misty,$18.13
AK-47 | Fuel Injector,$116.98
AK-47 | Gold Arabesque,"$1,365.72"
AK-47 | Green Laminate,$17.80
AK-47 | Head Shot,$27.55
AK-47 | Hydroponic,$889.70
AK-47 | Ice Coaled,$4.60
AK-47 | Inheritance,$45.00
AK-47 | Jaguar,$75.61
AK-47 | Jet Set,$332.78
AK-47 | Jungle Spray,$5.51
AK-47 | Leet Museo,$109.76
AK-47 | Legion of Anubis,$33.01
AK-47 | Midnight Laminate,$4.39
AK-47 | Neon Revolution,$96.83
AK-47 | Neon Rider,$43.95
AK-47 | Nightwish,$17.00
AK-47 | Nouveau Rouge,$14.17
AK-47 | Olive Polycam,$0.05
AK-47 | Orbit Mk01,$30.66
AK-47 | Panthera onca,$110.68
AK-47 | Phantom Disruptor,$5.74
AK-47 | Point Disarray,$14.73
AK-47 | Predator,$10.88
AK-47 | Rat Rod,$4.57
AK-47 | Red Laminate,$56.74
AK-47 | Redline,$28.39
AK-47 | Safari Mesh,$0.04
AK-47 | Safety Net,$2.84
AK-47 | Searing Rage,$4.76
AK-47 | Slate,$4.05
AK-47 | Steel Delta,$2.33
AK-47 | The Empress,$69.84
AK-47 | The Oligarch,$45.90
AK-47 | The Outsiders,$8.70
AK-47 | Uncharted,$0.55
AK-47 | VariCamo Grey,$0.09
AK-47 | Vulcan,$124.05
AK-47 | Wasteland Rebel,$76.19
AK-47 | Wild Lotus,"$4,145.72"
AK-47 | Wintergreen,$1.00
AK-47 | X-Ray,$377.70
Alyx Pin,$29.45
Ambush Sticker Capsule,$0.59
Ancient,$2.21
Antwerp 2022  Autograph Capsule,$0.19
Antwerp 2022  Sticker Capsule,$0.28
Anubis,$1.73
Anubis Collection Package,$2.11
Arno The Overgrown | Guerrilla Warfare,$24.07
Aspirant | Gendarmerie Nationale,$19.64
Atlanta 2017,$90.21
Audience Participation Parcel,$295.19
AUG | Akihabara Accept,$273.84
AUG | Amber Fade,$1.72
AUG | Amber Slipstream,$0.24
AUG | Anodized Navy,$34.92
AUG | Arctic Wolf,$1.91
AUG | Aristocrat,$1.11
AUG | Bengal Tiger,$10.95
AUG | Carved Jade,$3.17
AUG | Chameleon,$69.34
AUG | Colony,$0.28
AUG | Commando Company,
AUG | Condemned,$0.03
AUG | Contractor,$0.01
AUG | Copperhead,$80.71
AUG | Daedalus,$3.72
AUG | Death by Puppy,$5.44
AUG | Eye of Zapems,$2.71
AUG | Flame Jörmungandr,$327.94
AUG | Fleet Flock,$10.25
AUG | Hot Rod,$459.86
AUG | Lil' Pig,$46.21
AUG | Luxe Trim,$0.10
AUG | Midnight Lily,$322.53
AUG | Momentum,$5.02
AUG | Navy Murano,$1.66
AUG | Plague,$0.65
AUG | Radiation Hazard,$1.70
AUG | Random Access,$0.85
AUG | Ricochet,$0.16
AUG | Sand Storm,$1.82
AUG | Snake Pit,$0.02
AUG | Spalted Wood,$0.02
AUG | Steel Sentinel,$0.02
AUG | Storm,$0.01
AUG | Stymphalian,$3.62
AUG | Surveillance,$0.43
AUG | Sweeper,
AUG | Syd Mead,$9.28
AUG | Tom Cat,$0.13
AUG | Torque,$5.63
AUG | Trigger Discipline,$0.07
AUG | Triqua,$0.12
AUG | Wings,$15.50
Austin 2025  Autograph Capsule,$0.22
Austin 2025  Sticker Capsule,$0.22
Austin 2025 Ancient Highlight Package,$0.00
Austin 2025 Anubis Highlight Package,$0.00
Austin 2025 Dust II Highlight Package,$0.00
Austin 2025 Inferno Highlight Package,$0.00
Austin 2025 Mirage Highlight Package,$0.00
Austin 2025 Nuke Highlight Package,$0.00
Austin 2025 Souvenir Package,$0.00
Austin 2025 Train Highlight Package,$0.00
Autograph Capsule | Astralis | Atlanta 2017,$8.29
Autograph Capsule | Astralis | Cologne 2016,$13.20
Autograph Capsule | Astralis | MLG Columbus 2016,$9.87
Autograph Capsule | Atlanta 2017,$70.22
Autograph Capsule | Cloud9 | Cluj-Napoca 2015,$13.61
Autograph Capsule | Cloud9 | MLG Columbus 2016,$19.99
Autograph Capsule | Cloud9 G2A | Cologne 2015,$7.26
Autograph Capsule | Cluj-Napoca 2015,$24.65
Autograph Capsule | Cologne 2016,$40.56
Autograph Capsule | Counter Logic Gaming | Cluj-Napoca 2015,$9.10
Autograph Capsule | Counter Logic Gaming | Cologne 2015,$10.71
Autograph Capsule | Counter Logic Gaming | Cologne 2016,$23.03
Autograph Capsule | Counter Logic Gaming | MLG Columbus 2016,$12.37
Autograph Capsule | FaZe Clan | Atlanta 2017,$10.54
Autograph Capsule | FaZe Clan | Cologne 2016,$13.85
Autograph Capsule | FaZe Clan | MLG Columbus 2016,$7.13
Autograph Capsule | Flipsid3 Tactics | Atlanta 2017,$10.88
Autograph Capsule | Flipsid3 Tactics | Cluj-Napoca 2015,$14.53
Autograph Capsule | Flipsid3 Tactics | Cologne 2015,$10.33
Autograph Capsule | Flipsid3 Tactics | Cologne 2016,$17.54
Autograph Capsule | Flipsid3 Tactics | MLG Columbus 2016,$12.01
Autograph Capsule | Fnatic | Atlanta 2017,$6.66
Autograph Capsule | Fnatic | Cluj-Napoca 2015,$4.16
Autograph Capsule | Fnatic | Cologne 2015,$4.28
Autograph Capsule | Fnatic | Cologne 2016,$6.96
Autograph Capsule | Fnatic | MLG Columbus 2016,$5.04
Autograph Capsule | G2 Esports | Atlanta 2017,$9.50
Autograph Capsule | G2 Esports | Cluj-Napoca 2015,$7.88
Autograph Capsule | G2 Esports | Cologne 2016,$23.91
Autograph Capsule | G2 Esports | MLG Columbus 2016,$16.66
Autograph Capsule | Gambit Gaming | Atlanta 2017,$8.25
Autograph Capsule | Gambit Gaming | Cologne 2016,$24.62
